# American Standard Threads

Unified,0

# Unified Screw Threads - Standard Series, Class 3A/3B
# Data from Machinery's Handbook (25th Edition, 1996) Table #4 - pp 1654-1676
# ----------------------------------------------------------------------------
#   Name         Major	    Minor    Pitch   Tap Drill    Shaft    Depth
#                 Dia.	     Dia.               Dia.       Dia.
#              (internal  (external 	     (75% full
#               threads)   threads)  	      thread)
#                 (in)      (in)      (in)      (in)      (in)      (in)
# ----------------------------------------------------------------------------

1_1/4-12_UNF	 1.2500	   1.1508    0.0833    1.1823	 1.2386	   2.7500
1_1/4-18_UNEF	 1.2500	   1.1839    0.0556    1.2049	 1.2413	   2.7500
1_5/16-18_UNEF	 1.3125	   1.2464    0.0556    1.2674	 1.3038	   2.8750
1_3/8-6_UNC	 1.3750	   1.1766    0.1667    1.2397	 1.3568	   3.0000
1_3/8-12_UNF	 1.3750	   1.2758    0.0833    1.3073	 1.3636	   3.0000
1_3/8-18_UNEF	 1.3750	   1.3089    0.0556    1.3299	 1.3663    3.0000
1_7/16-18_UNEF	 1.4375	   1.3714    0.0556    1.3924	 1.4288	   3.1250
1_1/2-6_UNC	 1.5000	   1.3016    0.1667    1.3647	 1.4818	   3.2500
1_1/2-12_UNF	 1.5000	   1.4008    0.0833    1.4323	 1.4886	   3.2500
1_1/2-18_UNEF	 1.5000	   1.4339    0.0556    1.4549	 1.4913	   3.2500
1_9/16-18_UNEF	 1.5625	   1.4964    0.0556    1.5174	 1.5538	   3.3750
1_5/8-18_UNEF	 1.6250	   1.5589    0.0556    1.5799	 1.6163	   3.5000
1_11/16-18_UNEF	 1.6875	   1.6214    0.0556    1.6424	 1.6788	   3.6250
1_3/4-5_UNC	 1.7500	   1.5119    0.2000    1.5876	 1.7295	   3.7500
2-4_1/2_UNC	 2.0000	   1.7353    0.2222    1.8196	 1.9780	   4.2500
2_1/4-4_1/2_UNC	 2.2500	   1.9853    0.2222    2.0696	 2.2280	   4.7500
2_1/2-4_UNC	 2.5000	   2.2023    0.2500    2.2970	 2.4762	   5.2500
2_3/4-4_UNC	 2.7500	   2.4523    0.2500    2.5470	 2.7262	   5.7500
3-4_UNC		 3.0000	   2.7023    0.2500    2.7970	 2.9762	   6.2500
3_1/4-4_UNC	 3.2500	   2.9523    0.2500    3.0470	 3.2262	   6.7500
3_1/2-4_UNC	 3.5000	   3.2023    0.2500    3.2970	 3.4762	   7.2500
3_3/4-4_UNC	 3.7500	   3.4523    0.2500    3.5470	 3.7262	   7.7500
4-4_UNC		 4.0000	   3.7023    0.2500    3.7970	 3.9762	   8.2500

UNJ,0

# Unified Screw Threads - UNJ Thread Form, Class 3A/3B
# Data from ASME Standard B1.15-1995 Table #5 - pp 17-31
# ----------------------------------------------------------------------------
#   Name         Major	    Minor    Pitch   Tap Drill    Shaft    Depth
#                 Dia.	     Dia.               Dia.       Dia.
#              (internal  (external 	     (75% full
#               threads)   threads)  	      thread)
#                 (in)      (in)      (in)      (in)      (in)      (in)
# ----------------------------------------------------------------------------

0.0600-80_UNJF   0.0600    0.0456    0.0125    0.0509    0.0568    0.1800
0.0730-64_UNJC   0.0730	   0.0550    0.0156    0.0616    0.0692    0.2190
0.0730-72_UNJF   0.0730	   0.0570    0.0139    0.0629    0.0692    0.2190
0.0860-56_UNJC   0.0860	   0.0654    0.0179    0.0730    0.0819    0.2580
0.0860-64_UNJF   0.0860	   0.0680    0.0156    0.0746    0.0822    0.2580
0.0990-48_UNJC   0.0990	   0.0750    0.0208    0.0838    0.0945	   0.2970
0.0990-56_UNJF   0.0990    0.0784    0.0179    0.0860    0.0949	   0.2970
0.1120-40_UNJC   0.1120    0.0832    0.0250    0.0938    0.1069	   0.3360
0.1120-48_UNJF   0.1120    0.0880    0.0208    0.0968    0.1075	   0.3360
0.1250-40_UNJC	 0.1250	   0.0962    0.0250    0.1068	 0.1199	   0.3750
0.1250-44_UNJF	 0.1250	   0.0987    0.0227    0.1084    0.1202	   0.3750
0.1380-32_UNJC	 0.1380	   0.1019    0.0313    0.1152	 0.1320	   0.4140
0.1380-40_UNJF	 0.1380	   0.1092    0.0250    0.1198	 0.1329	   0.4140
0.1640-32_UNJC	 0.1640	   0.1279    0.0313    0.1412	 0.1580	   0.4920
0.1640-36_UNJF	 0.1640	   0.1320    0.0278    0.1438	 0.1585	   0.4920
0.1900-24_UNJC	 0.1900	   0.1418    0.0417    0.1596	 0.1828	   0.5700
0.1900-32_UNJF	 0.1900	   0.1539    0.0313    0.1672	 0.1840	   0.5700
0.2160-24_UNJC	 0.2160	   0.1678    0.0417    0.1856	 0.2088	   0.6480
0.2160-28_UNJF	 0.2160	   0.1748    0.0357    0.1899	 0.2095	   0.6480
0.2160-32_UNJEF	 0.2160	   0.1799    0.0313    0.1932	 0.2100	   0.6480
0.2500-20_UNJC	 0.2500	   0.1922    0.0500    0.2135	 0.2419	   0.7500
0.2500-28_UNJF	 0.2500	   0.2088    0.0357    0.2239	 0.2435	   0.7500
0.2500-32_UNJEF	 0.2500	   0.2139    0.0313    0.2272	 0.2440	   0.7500
0.3125-18_UNJC	 0.3125	   0.2483    0.0556    0.2719	 0.3038	   0.9375
0.3125-24_UNJF	 0.3125	   0.2644    0.0417    0.2760	 0.3053	   0.9375
0.3125-32_UNJEF	 0.3125	   0.2764    0.0313    0.2821	 0.3065	   0.9375
0.3750-16_UNJC	 0.3750	   0.3028    0.0625    0.3293	 0.3656	   1.1250
0.3750-24_UNJF	 0.3750	   0.3268    0.0417    0.3446	 0.3678	   1.1250
0.3750-32_UNJEF	 0.3750	   0.3389    0.0313    0.3522	 0.3690	   1.1250
0.4375-14_UNJC	 0.4375	   0.3550    0.0714    0.3854	 0.4272	   1.1250
0.4375-16_UNJ	 0.4375	   0.3653    0.0625    0.3918	 0.4281	   1.1250
0.4375-20_UNJF	 0.4375	   0.3797    0.0500    0.4010	 0.4294	   1.1250
0.4375-28_UNJEF	 0.4375	   0.3963    0.0357    0.4114	 0.4310	   1.1250
0.5000-13_UNJC	 0.5000	   0.4111    0.0769    0.4438	 0.4891	   1.2500
0.5000-16_UNJ	 0.5000	   0.4278    0.0625    0.4544	 0.4906	   1.2500
0.5000-20_UNJF	 0.5000	   0.4422    0.0500    0.4635	 0.4919	   1.2500
0.5000-28_UNJEF	 0.5000	   0.4588    0.0357    0.4739	 0.4935	   1.2500
0.5625-12_UNJC	 0.5625	   0.4663    0.0833    0.5017	 0.5511	   1.3750
0.5625-16_UNJ	 0.5625	   0.4903    0.0625    0.5169	 0.5531	   1.3750
0.5625-18_UNJF	 0.5625	   0.4983    0.0556    0.5219	 0.5538	   1.3750
0.5625-24_UNJEF	 0.5625	   0.5143    0.0417    0.5321	 0.5553	   1.3750
0.6250-11_UNJC	 0.6250	   0.5201    0.0909    0.5586	 0.6129	   1.5000
0.6250-12_UNJ	 0.6250	   0.5288    0.0833    0.5642	 0.6136	   1.5000
0.6250-16_UNJ	 0.6250	   0.5528    0.0625    0.5794	 0.6156	   1.5000
0.6250-18_UNJF	 0.6250	   0.5608    0.0556    0.5844	 0.6163	   1.5000
0.6250-24_UNJEF	 0.6250	   0.5768    0.0417    0.5946	 0.6178	   1.5000
0.6875-12_UNJ	 0.6875	   0.5913    0.0833    0.6267	 0.6761	   1.6250
0.6875-16_UNJ	 0.6875	   0.6153    0.0625    0.6419	 0.6781	   1.6250
0.6875-24_UNJEF	 0.6875	   0.6393    0.0417    0.6571	 0.6803	   1.6250
0.7500-10_UNJC	 0.7500	   0.6345    0.1000    0.6770	 0.7371	   1.7500
0.7500-12_UNJ	 0.7500	   0.6538    0.0833    0.6892	 0.7386	   1.7500
0.7500-16_UNJF	 0.7500	   0.6778    0.0625    0.7044	 0.7406	   1.7500
0.7500-20_UNJEF	 0.7500	   0.6922    0.0500    0.7135	 0.7419	   1.7500
0.8125-12_UNJ	 0.8125	   0.7163    0.0833    0.7517	 0.8011	   1.8750
0.8125-16_UNJ	 0.8125	   0.7403    0.0625    0.7669	 0.8031	   1.8750
0.8125-20_UNJEF	 0.8125	   0.7547    0.0500    0.7760	 0.8044	   1.8750
0.8750-9_UNJC	 0.8750	   0.7467    0.1111    0.7939	 0.8611	   2.0000
0.8750-12_UNJ	 0.8750	   0.7788    0.0833    0.8142	 0.8636	   2.0000
0.8750-14_UNJF	 0.8750	   0.7925    0.0714    0.8229	 0.8647	   2.0000
0.8750-16_UNJ	 0.8750	   0.8028    0.0625    0.8294	 0.8656	   2.0000
0.8750-20_UNJEF	 0.8750	   0.8172    0.0500    0.8385	 0.8669	   2.0000
0.9375-12_UNJ	 0.9375	   0.8413    0.0833    0.8767	 0.9261	   2.1250
0.9375-16_UNJ	 0.9375	   0.8653    0.0625    0.8919	 0.9281	   2.1250
0.9375-20_UNJEF	 0.9375	   0.8797    0.0500    0.9010	 0.9294	   2.1250
1.0000-8_UNJC	 1.0000	   0.8556    0.1250    0.9087	 0.9850	   2.2500
1.0000-12_UNJF	 1.0000	   0.9038    0.0833    0.9392	 0.9886	   2.2500
1.0000-16_UNJ	 1.0000	   0.9278    0.0625    0.9544	 0.9906	   2.2500
1.0000-20_UNJEF	 1.0000	   0.9422    0.0500    0.9635	 0.9919	   2.2500
1.0625-8_UNJ	 1.0625	   0.9182    0.1250    0.9712	 1.0475	   2.3750
1.0625-12_UNJ	 1.0625	   0.9663    0.0833    1.0017	 1.0511	   2.3750
1.0625-16_UNJ	 1.0625	   0.9903    0.0625    1.0169	 1.0531	   2.3750
1.0625-18_UNJEF	 1.0625	   0.9983    0.0556    1.0219	 1.0538	   2.3750
1.1250-7_UNJC	 1.1250	   0.9600    0.1429    1.0207	 1.1086	   2.5000
1.1250-8_UNJ	 1.1250	   0.9806    0.1250    1.0337	 1.1100	   2.5000
1.1250-12_UNJF	 1.1250	   1.0288    0.0833    1.0642	 1.1136	   2.5000
1.1250-16_UNJ	 1.1250	   1.0528    0.0625    1.0794	 1.1156	   2.5000
1.1250-18_UNJEF	 1.1250	   1.0608    0.0556    1.0844	 1.1163	   2.5000
1.1875-8_UNJ	 1.1875	   1.0432    0.1250    1.0962	 1.1725	   2.6250
1.1875-12_UNJ	 1.1875	   1.0913    0.0833    1.1267	 1.1761	   2.6250
1.1875-16_UNJ	 1.1875	   1.1153    0.0625    1.1419	 1.1781	   2.6250
1.1875-18_UNJEF	 1.1875	   1.1233    0.0556    1.1469	 1.1788	   2.6250
1.2500-7_UNJC	 1.2500	   1.0850    0.1429    1.1457	 1.2336	   2.7500
1.2500-8_UNJ	 1.2500	   1.1056    0.1250    1.1587	 1.2350	   2.7500
1.2500-12_UNJF	 1.2500	   1.1538    0.0833    1.1892	 1.2386	   2.7500
1.2500-16_UNJ	 1.2500	   1.1778    0.0625    1.2004	 1.2406	   2.7500
1.2500-18_UNJEF	 1.2500	   1.1858    0.0556    1.2094	 1.2413	   2.7500
1.3125-8_UNJ	 1.3125	   1.1682    0.1250    1.2212	 1.2975	   2.8750
1.3125-12_UNJ	 1.3125	   1.2163    0.0833    1.2517	 1.3011	   2.8750
